"","x"
"946","Rpl9-ps2"
"947","Slc16a11"
"948","Gm11774"
"949","Gm7555"
"950","Rpl10a-ps2"
"951","AC165159.1"
"952","Dcbld2"
"953","AC133646.1"
"954","Hells"
"955","Gm13804"
"956","Gm11462"
"957","Gm13321"
"958","Gm14034"
"959","Bmf"
"960","Gm11810"
"961","Gm12754"
"962","Gm13215"
"963","Gm10586"
"964","AC158995.1"
"965","Gm7973"
"966","Gm6368"
"967","Gm14562"
"968","Gm15032"
"969","Gm4919"
"970","Rassf8"
"971","2410002F23Rik"
"972","Cep72"
"973","Gm10499"
"974","Dnajc6"
"975","Serbp1"
"976","Ccne1"
"977","Kif15"
"978","Prr5l"
"979","D7Ertd443e"
"980","Ndufb7"
"981","Cep68"
"982","Tpm3"
"983","Chsy1"
"984","Gm10852"
"985","Gm12319"
"986","Glrx5"
"987","Ptbp2"
"988","2900026A02Rik"
"989","Dzip1l"
"990","Usp46"
"991","Clic1"
"992","Cep55"
"993","Skap1"
"994","Cdca2"
"995","Arhgap39"
"996","Col13a1"
"997","A730011L01Rik"
"998","Ddr1"
"999","Gm13157"
"1000","Shcbp1"
"1001","Spc24"
"1002","Pycr1"
"1003","Cwc22"
"1004","Eif5a2"
"1005","Hmgb1"
"1006","Stat5b"
"1007","Apaf1"
"1008","Gm13824,Gm13825"
"1009","Prim1"
"1010","Esco2"
"1011","Tnk2"
"1012","Dynll1"
"1013","Ptma"
"1014","Gpr153"
"1015","Ispd"
"1016","Acin1"
"1017","Atad1"
"1018","Rapgef1"
"1019","Actg2"
"1020","Sap30"
"1021","6330578E17Rik"
"1022","Apobec3"
"1023","Dtnb"
"1024","Cetn3"
"1025","Vdr"
"1026","BC065397"
"1027","Wasf1"
"1028","Atad5"
"1029","Ptplb"
"1030","Pag1"
"1031","Zfp827"
"1032","3110053B16Rik"
"1033","Bcl11b"
"1034","9930013L23Rik"
"1035","BC043934"
"1036","Plxna3"
"1037","Gtf2e1"
"1038","Ncs1"
"1039","Mical2"
"1040","Kif22"
"1041","Gar1"
"1042","Ywhah"
"1043","Gm9990"
"1044","Arfip2"
"1045","Sdk2"
"1046","Scd3"
"1047","Schip1"
"1048","Eri2"
"1049","Cttn"
"1050","Gulp1"
"1051","Slc35d2"
"1052","Celsr1"
"1053","Specc1"
"1054","Zfp125"
"1055","Gm3591,Gm3629,Gm8356"
"1056","3110001I22Rik,Bfar"
"1057","Pcdhga9"
"1058","Prelid2"
"1059","Epb4.1l2"
"1060","Igsf3"
"1061","Maged1"
"1062","Ctnnd1"
"1063","Ssr2"
"1064","Gm9776"
"1065","Dcaf17"
"1066","Lpp"
"1067","Gpr162"
"1068","Dock1"
"1069","Slc1a3"
"1070","4930422G04Rik"
"1071","Slain2"
"1072","Cdc7"
"1073","Stxbp6"
"1074","Skp2"
"1075","Gm5665"
"1076","Zfp521"
"1077","Fubp3"
"1078","Wdr17"
